N,P,K,temperature,humidity,ph,rainfall,label
25.99,49.46,25.94,24.79,64.86,6.42,46.24,mothbeans
17.39,18.35,11.36,20.61,96.91,7.21,87.74,orange
82.28,57.13,76.38,16.93,59.06,6.28,42.51,cabbage
60.13,54.29,101.26,16.49,60.12,6.36,51.6,carrot
130.16,78.92,82.61,28.19,82.76,6.54,181.64,sugarcane
41.14,26.36,82.44,12.0,67.04,6.13,29.61,radish
63.17,77.48,64.37,25.22,66.92,5.62,81.86,tobacco
79.2,48.61,66.71,25.6,87.5,6.29,194.88,ginger
43.6,31.31,96.37,24.1,76.35,5.88,64.85,sweet_potato
41.12,56.06,45.9,25.33,59.57,6.57,31.6,castor
7.48,21.43,31.55,21.94,86.86,5.67,125.05,pomegranate
49.69,33.35,41.91,20.94,55.93,6.45,20.0,coriander
119.83,29.56,42.34,20.85,85.92,5.12,145.66,tea
31.07,15.72,32.12,34.47,54.53,6.25,73.69,mango
113.65,50.81,110.12,27.44,68.22,6.4,96.25,tobacco
19.65,140.91,205.0,10.37,97.3,5.5,84.71,apple
91.78,44.17,49.49,26.69,73.93,6.28,218.38,pepper
46.43,49.29,70.51,15.44,76.15,6.72,34.73,radish
90.04,63.97,27.7,23.03,85.79,6.2,247.12,rice
100.65,50.28,64.35,17.46,70.12,6.18,54.57,cauliflower
60.81,42.39,41.5,21.45,67.86,6.69,38.7,sunflower
92.2,20.62,38.16,24.39,62.19,7.0,172.61,coffee
98.8,62.25,62.71,22.21,68.96,5.48,92.98,tobacco
42.86,28.33,33.36,22.8,71.26,6.39,65.96,guava
37.44,62.66,19.17,33.76,67.0,7.07,85.99,blackgram
24.15,25.38,28.3,40.47,41.35,5.46,86.27,mango
126.49,62.29,65.0,35.04,75.93,6.45,174.28,sugarcane
79.68,42.67,30.61,19.88,52.92,6.65,44.79,mustard
37.58,48.84,43.03,20.4,76.29,6.49,51.53,tomato
42.79,30.96,38.35,18.85,65.2,6.63,56.15,garlic
48.47,45.24,80.95,20.05,61.46,6.36,20.03,carrot
70.87,52.18,62.4,20.78,66.15,7.0,60.41,onion
12.31,45.38,45.06,27.53,56.93,6.84,101.08,groundnut
66.78,41.2,55.63,25.16,59.94,6.31,29.04,sunflower
58.62,23.22,25.87,27.67,54.87,5.79,91.46,cashew
105.99,78.05,54.45,28.89,77.67,6.3,78.4,banana
40.19,81.02,68.96,17.16,17.06,6.81,53.21,chickpea
39.06,64.8,97.63,25.94,85.77,5.89,51.44,sweet_potato
14.67,70.4,57.57,24.5,65.73,6.42,86.13,soybean
43.92,29.58,62.34,20.75,59.3,6.38,31.8,radish
10.56,22.65,27.34,24.26,83.85,6.48,68.27,grapes
15.68,136.92,195.18,17.54,90.21,5.87,113.57,apple
108.22,28.04,33.81,27.59,56.9,6.74,158.45,coffee
19.36,70.95,10.03,22.35,63.69,6.41,26.48,lentil
33.41,34.57,50.58,29.43,80.26,6.58,56.77,tomato
11.1,21.66,29.48,34.77,41.54,5.73,97.14,mango
25.76,39.42,99.73,20.79,59.35,6.36,43.24,carrot
94.78,34.29,57.86,18.75,73.97,6.69,186.26,rice
68.91,53.1,47.63,29.65,96.48,5.99,141.32,ginger
34.55,30.18,63.44,26.29,53.23,6.24,65.36,guava
27.96,35.04,42.88,20.28,62.81,6.26,77.06,lemon
58.46,45.89,56.14,26.95,87.51,5.12,201.38,cardamom
97.28,36.04,66.28,29.67,67.97,5.97,177.48,turmeric
12.97,66.36,25.77,19.28,25.48,5.78,113.36,kidneybeans
26.25,82.86,49.0,24.6,63.65,6.13,59.47,soybean
12.69,12.46,33.59,28.82,95.56,6.02,138.82,coconut
46.76,36.17,18.0,28.66,65.65,6.54,39.95,sesame
115.41,23.07,37.44,32.31,90.37,6.32,20.0,muskmelon
83.54,70.75,90.36,25.47,78.15,6.19,117.9,tobacco
85.59,16.96,57.46,32.42,91.32,6.4,26.51,muskmelon
63.79,44.46,40.84,16.0,57.51,6.87,50.83,mustard
41.85,67.99,16.04,36.69,71.54,7.39,73.41,blackgram
25.9,58.76,25.33,22.83,44.11,5.44,119.0,pigeonpeas
87.2,52.75,50.72,20.62,76.01,6.74,84.05,wheat
20.33,23.99,36.11,30.36,84.77,6.64,72.49,grapes
112.08,35.0,69.86,24.76,74.39,5.62,113.91,pineapple
52.51,64.34,53.81,27.83,77.27,5.74,228.45,cardamom
109.72,22.91,33.16,24.95,59.65,6.58,181.1,coffee
48.36,34.96,36.97,16.39,73.87,6.81,81.44,garlic
102.1,79.24,64.95,26.83,71.91,6.38,107.98,banana
99.34,34.93,25.5,27.96,74.58,6.95,176.5,coffee
76.56,54.01,51.81,29.49,75.49,5.77,202.14,pepper
24.45,18.08,8.72,17.75,86.37,7.41,116.41,orange
100.25,43.74,83.54,15.96,62.34,6.79,28.27,cabbage
17.34,71.08,17.07,25.43,51.61,5.48,147.79,pigeonpeas
73.29,58.52,87.05,19.85,67.02,5.91,121.62,tobacco
116.67,39.04,54.46,28.16,72.63,7.18,89.21,cotton
13.15,45.47,20.96,27.32,60.95,7.66,42.32,lentil
98.89,54.97,59.95,23.23,77.85,6.01,150.82,turmeric
56.92,35.52,61.99,24.25,73.57,6.73,74.14,capsicum
19.48,64.64,9.91,30.11,54.21,5.35,170.41,pigeonpeas
34.55,115.56,96.31,15.28,85.5,6.14,42.38,strawberry
38.53,62.26,41.2,26.31,93.33,6.78,160.64,papaya
97.85,35.98,80.32,26.28,60.92,5.48,170.97,pineapple
15.83,57.89,33.11,25.63,66.99,6.68,92.86,groundnut
49.68,47.65,27.45,28.97,65.52,6.3,141.14,guava
51.85,50.88,44.08,29.74,58.64,7.02,69.0,chilli
17.68,126.77,192.61,24.37,87.57,5.3,102.74,apple
102.01,27.67,23.86,25.2,63.9,6.48,140.43,coffee
20.61,44.46,22.5,30.3,30.34,7.01,44.46,mothbeans
65.54,26.48,43.59,20.09,91.44,5.53,238.35,cardamom
7.49,63.17,18.03,23.36,67.26,6.66,45.23,lentil
68.42,50.7,48.03,24.25,75.47,5.54,215.86,cardamom
88.12,60.51,62.6,13.52,74.55,6.35,48.55,cauliflower
19.27,119.79,194.2,23.86,92.31,5.67,114.61,apple
110.36,22.7,14.42,27.97,66.8,6.42,174.85,coffee
28.26,45.94,101.3,20.34,81.85,6.39,86.97,sweet_potato
33.3,39.82,32.5,30.36,45.21,5.61,43.48,sesame
43.17,33.35,20.95,33.0,49.66,6.68,50.01,sesame
126.32,40.29,53.17,19.99,73.08,6.44,45.13,wheat
108.95,39.09,27.76,24.35,53.16,6.84,135.29,coffee
126.16,53.2,74.24,18.21,63.9,6.54,74.35,cabbage
38.84,38.73,77.8,18.7,67.21,6.69,56.34,radish
22.33,7.87,39.88,23.5,94.04,6.07,103.08,pomegranate
133.25,14.29,61.92,16.29,62.21,6.86,55.7,spinach
36.88,44.03,61.99,24.52,84.59,6.13,69.78,tomato
60.52,54.11,48.78,26.96,62.07,6.61,43.47,sunflower
84.74,51.72,62.83,22.96,60.26,5.94,78.2,maize
25.59,61.71,21.89,19.3,78.45,7.03,38.18,lentil
103.0,39.77,69.51,19.42,69.04,6.16,77.35,cabbage
32.11,24.72,32.16,16.63,35.34,7.34,28.22,cumin
104.22,54.71,63.36,32.03,81.4,6.3,187.04,turmeric
47.29,36.15,29.89,30.59,48.48,6.34,47.95,sesame
33.98,22.05,26.48,32.89,69.23,6.03,101.61,cashew
49.52,39.96,36.43,27.87,69.71,6.54,126.46,guava
38.48,34.7,40.4,29.25,94.72,5.99,207.17,pepper
18.28,54.17,10.25,21.44,52.46,7.46,59.0,lentil
57.08,32.42,45.76,24.43,72.68,7.03,74.35,tomato
40.33,31.2,44.17,28.42,69.72,7.22,84.3,guava
16.12,61.1,49.67,22.56,57.01,6.17,80.44,soybean
64.35,37.67,44.93,15.07,52.92,7.11,42.57,coriander
19.5,133.62,196.59,19.64,93.72,6.32,78.8,apple
47.94,23.3,49.79,17.94,53.4,6.48,52.62,coriander
21.98,71.82,109.34,25.12,78.05,5.98,92.2,sweet_potato
135.36,65.12,75.22,30.25,69.78,6.53,197.85,sugarcane
55.48,47.93,29.76,30.65,52.16,6.85,46.84,castor
73.71,58.49,75.09,29.67,75.55,5.41,103.11,tobacco
25.34,92.98,19.52,24.43,61.63,6.66,40.45,lentil
27.87,47.03,133.81,16.54,52.65,5.94,53.56,carrot
52.72,21.9,29.57,40.06,70.65,5.8,83.44,cashew
21.53,36.08,49.14,32.97,66.27,6.43,75.81,groundnut
38.26,33.15,35.75,19.88,46.52,7.51,23.83,cumin
11.81,47.72,20.23,24.8,65.07,6.89,59.09,lentil
30.92,29.86,28.92,22.29,42.29,7.14,34.9,cumin
41.68,44.98,32.64,25.7,51.75,6.7,45.33,sesame
53.62,36.5,54.27,17.95,85.22,6.43,91.35,capsicum
69.54,13.85,36.01,14.37,82.63,4.44,192.42,tea
36.5,47.6,94.6,25.15,86.45,5.87,61.03,sweet_potato
41.42,99.6,105.34,14.24,88.63,6.28,65.96,strawberry
20.6,41.39,92.02,19.5,61.18,6.29,41.08,carrot
45.08,28.75,35.18,24.1,63.5,6.48,92.83,guava
96.15,6.9,36.54,23.13,83.69,5.9,76.32,watermelon
15.35,17.03,33.51,19.16,78.74,5.68,88.68,grapes
94.19,67.37,72.97,21.26,78.04,6.42,88.98,maize
52.74,24.47,46.53,16.41,59.21,6.38,45.15,coriander
19.56,63.33,14.99,25.32,79.27,6.77,35.25,lentil
81.33,67.59,86.69,22.03,77.24,6.81,108.15,tobacco
76.78,40.11,81.42,30.88,63.62,5.43,145.4,turmeric
95.69,53.02,74.9,19.48,67.16,4.96,59.43,potato
76.77,45.15,30.16,19.61,77.0,6.75,191.71,jute
92.56,41.06,96.37,15.26,60.59,6.74,34.2,spinach
94.71,50.02,58.13,24.93,77.66,6.35,85.0,maize
103.36,20.42,56.82,26.99,86.75,6.32,22.23,muskmelon
15.83,15.95,8.02,18.18,89.78,6.46,88.57,orange
72.42,55.64,32.56,23.53,95.84,5.57,210.59,cardamom
58.32,37.09,76.07,13.96,51.96,6.46,34.02,radish
25.53,69.38,23.04,23.88,45.06,7.07,38.83,lentil
54.93,51.68,78.31,20.15,79.3,6.9,59.08,chilli
88.04,44.37,68.41,22.37,54.09,6.12,106.34,maize
25.65,48.79,21.94,28.04,53.28,7.04,45.78,mothbeans
17.56,35.87,42.54,23.03,67.73,6.85,97.35,groundnut
19.06,13.01,28.81,27.14,92.13,6.38,154.51,coconut
86.46,15.88,35.83,30.68,91.99,4.99,222.22,rubber
108.1,85.6,47.3,26.15,77.48,5.34,113.58,banana
54.25,26.56,38.61,16.89,40.63,7.21,20.0,cumin
67.64,57.26,32.28,19.68,72.64,6.49,26.04,sunflower
47.84,51.03,51.97,15.85,65.18,6.55,84.76,garlic
59.68,44.44,53.96,18.76,76.19,6.3,50.08,onion
48.44,43.83,47.66,27.35,65.09,6.79,20.0,sunflower
18.58,16.38,10.91,20.59,100.0,6.96,103.17,orange
57.97,48.14,74.74,16.58,70.22,5.58,34.36,potato
52.85,36.25,37.73,25.47,70.17,6.68,47.56,tomato
80.86,69.64,62.42,26.94,83.14,5.42,137.46,ginger
140.0,76.58,78.3,30.35,79.83,6.55,182.57,sugarcane
23.45,19.91,22.42,27.27,87.34,5.49,166.01,coconut
24.99,50.96,14.71,26.23,64.54,6.92,57.59,mothbeans
85.11,44.52,79.15,23.45,75.97,6.81,71.07,capsicum
94.93,36.79,16.36,22.34,58.71,7.03,144.24,coffee
70.35,36.52,63.13,18.3,68.14,6.08,71.18,onion
81.97,32.69,50.52,21.87,81.72,6.33,163.15,rice
38.91,40.95,40.01,37.63,92.4,6.74,117.96,papaya
19.71,136.52,182.27,18.21,95.94,5.3,108.73,apple
33.29,34.12,56.51,32.64,64.4,6.42,126.71,lemon
112.9,74.93,49.93,26.84,67.89,6.62,88.94,maize
77.53,46.58,80.47,18.05,73.91,5.13,35.46,potato
52.55,69.02,14.03,33.5,77.26,6.99,77.63,blackgram
54.08,44.29,43.04,17.92,54.82,6.89,83.14,coriander
39.44,19.21,46.12,22.01,61.1,6.53,20.0,coriander
87.36,47.47,78.58,13.37,73.6,6.83,54.96,cauliflower
23.71,33.92,35.73,25.36,57.55,5.61,71.4,mango
83.84,79.79,51.42,27.12,75.27,6.56,100.13,banana
72.12,51.76,60.68,26.04,83.07,6.5,61.68,capsicum
10.74,16.23,25.7,30.09,88.65,5.89,194.41,coconut
19.43,68.6,21.39,24.83,55.82,5.99,136.0,pigeonpeas
9.26,73.21,24.33,23.82,63.01,6.64,42.33,lentil
23.31,49.74,41.69,17.53,64.89,6.84,94.41,garlic
6.26,50.45,19.07,18.44,14.19,6.03,84.79,kidneybeans
108.67,38.12,28.97,26.63,71.98,6.61,177.11,coffee
12.04,23.43,27.76,25.17,86.15,6.14,65.13,grapes
79.97,19.49,42.77,30.43,91.54,5.52,234.65,rubber
65.87,48.65,32.81,27.39,71.3,6.85,28.29,onion
87.67,46.75,47.14,21.82,81.29,6.24,164.66,rice
60.3,50.21,60.09,22.6,75.41,6.0,57.97,tomato
48.18,48.15,47.55,21.52,51.96,6.53,29.93,coriander
80.66,20.27,39.17,27.41,76.77,5.03,252.55,rubber
94.98,55.06,43.22,14.84,89.3,5.06,210.73,tea
93.61,12.6,35.82,25.1,82.21,6.54,54.56,watermelon
25.82,24.74,26.19,29.24,40.77,6.09,116.47,mango
55.62,43.82,76.24,18.93,53.3,5.33,46.34,potato
39.02,48.52,51.35,15.74,69.28,7.01,36.01,garlic
50.6,60.28,54.43,32.16,89.37,7.3,131.09,papaya
64.97,56.69,61.39,27.45,84.14,6.18,188.07,ginger
10.57,34.56,14.02,30.1,84.66,6.55,45.25,mungbean
92.21,29.81,24.57,28.92,65.66,6.72,161.49,coffee
18.16,18.82,36.98,18.73,90.49,6.96,33.23,pomegranate
64.37,39.53,73.75,17.92,70.0,6.3,34.69,radish
61.63,40.42,60.18,24.93,75.14,6.29,61.83,capsicum
22.84,19.04,37.58,25.62,95.32,6.09,146.73,coconut
12.24,22.07,32.23,34.43,40.2,5.98,71.91,mango
18.5,15.77,5.82,24.31,90.56,7.32,143.26,orange
90.6,58.49,67.7,25.49,74.0,5.95,88.38,tobacco
17.06,67.85,25.8,18.58,24.21,5.61,102.77,kidneybeans
32.39,54.67,6.98,27.0,77.39,7.39,69.7,blackgram
14.4,43.92,39.83,23.45,65.65,6.9,57.26,groundnut
83.32,57.3,52.9,24.72,74.86,6.03,201.1,ginger
25.44,48.09,16.77,29.98,81.9,6.84,59.23,mungbean
43.23,42.69,51.02,17.97,62.67,6.77,124.13,garlic
80.94,48.59,41.81,26.94,77.99,6.1,219.69,cardamom
14.0,14.15,6.73,21.2,86.58,6.97,134.17,orange
81.74,49.59,43.22,25.28,81.26,6.86,165.18,jute
29.71,47.29,84.88,17.98,67.03,6.18,22.33,radish
63.41,58.69,90.74,19.5,67.19,5.96,52.85,potato
46.47,32.37,28.84,24.73,90.43,5.6,249.94,cardamom
20.86,64.91,48.76,29.43,78.49,5.63,95.9,soybean
40.38,87.98,11.5,31.18,66.07,7.69,83.28,blackgram
44.18,46.62,65.01,29.52,66.55,6.49,62.67,chilli
26.39,18.17,34.87,21.23,86.13,6.24,95.06,pomegranate
77.93,21.46,37.94,28.09,78.93,5.42,270.2,rubber
27.38,48.69,103.85,24.45,72.52,5.73,82.97,sweet_potato
29.29,60.66,15.86,25.42,58.7,5.28,149.05,pigeonpeas
78.3,36.26,70.95,20.66,68.02,6.54,45.76,cabbage
71.54,46.9,62.07,19.27,60.62,5.75,42.94,potato
17.59,43.99,63.31,25.89,61.15,6.78,75.93,groundnut
53.54,22.57,37.91,29.38,67.2,6.23,73.02,cashew
140.0,63.07,87.18,27.58,73.46,7.08,205.04,sugarcane
46.4,22.61,51.62,25.69,73.58,6.32,90.97,lemon
90.02,22.94,33.7,28.58,66.22,6.33,161.6,coffee
21.51,25.79,12.36,21.72,82.28,7.03,137.66,orange
19.72,47.35,16.66,24.44,53.54,6.62,58.56,mothbeans
18.51,77.29,25.01,22.83,45.22,5.87,118.14,pigeonpeas
45.89,27.78,32.85,24.36,52.62,6.48,46.46,sesame
131.62,44.74,58.85,30.0,86.49,6.37,130.35,sugarcane
42.44,51.36,73.74,20.07,14.46,7.0,88.37,chickpea
130.33,90.23,71.8,28.55,80.75,6.49,189.61,sugarcane
19.85,53.19,49.01,27.5,66.6,6.66,45.78,groundnut
18.78,75.76,20.29,20.08,15.6,6.12,150.45,kidneybeans
26.13,12.91,32.69,29.7,91.75,5.66,156.01,coconut
82.61,46.54,45.07,25.71,81.05,6.21,164.47,rice
113.82,50.43,68.6,12.36,54.61,6.75,27.18,spinach
108.83,62.69,36.31,20.63,78.1,6.33,66.5,cotton
88.28,11.05,42.0,25.95,90.41,6.63,20.0,muskmelon
40.16,51.8,116.38,12.38,49.39,6.36,61.23,carrot
39.51,23.74,32.89,31.3,60.08,6.11,132.82,guava
66.18,43.7,72.26,23.51,78.28,6.4,53.61,chilli
112.72,15.69,55.99,28.61,89.89,6.28,24.4,muskmelon
27.94,76.09,22.54,21.23,68.31,7.21,51.37,lentil
15.02,55.9,25.2,28.97,59.27,6.49,75.39,groundnut
10.84,51.57,14.0,30.55,39.74,6.18,134.3,pigeonpeas
92.73,40.82,37.48,17.33,51.46,7.5,73.96,wheat
58.31,42.27,94.44,15.5,55.33,5.37,42.2,potato
71.62,37.17,34.0,20.62,71.6,6.93,35.42,mustard
97.94,45.65,76.9,17.62,61.51,6.54,60.75,cabbage
12.34,66.17,51.37,29.82,65.97,6.93,102.39,soybean
21.6,55.57,16.09,23.71,50.43,5.24,139.32,pigeonpeas
32.27,34.66,53.29,24.7,67.56,6.28,90.23,lemon
31.52,79.18,21.29,24.6,34.17,5.67,174.68,pigeonpeas
63.84,68.18,32.34,18.52,51.3,7.24,46.69,mustard
55.22,30.1,33.62,20.08,53.12,6.72,40.6,mustard
50.1,43.58,44.09,22.11,58.09,6.45,80.42,tomato
58.0,36.14,30.71,15.8,74.45,7.01,63.34,coriander
97.79,19.94,31.5,33.02,100.0,6.4,237.22,rubber
50.78,31.7,50.18,26.05,60.51,7.01,34.05,cumin
99.52,30.33,29.17,21.33,65.1,7.06,149.8,coffee
47.43,33.83,36.86,24.31,99.81,5.53,259.72,rubber
74.14,39.93,87.91,19.28,68.61,5.62,55.73,potato
29.9,32.18,77.13,15.62,75.05,5.73,44.87,carrot
53.73,57.19,78.51,15.7,22.12,7.42,64.37,chickpea
38.95,80.91,22.06,27.85,62.09,6.87,107.57,blackgram
53.83,68.13,52.45,29.16,96.12,6.57,134.27,papaya
49.87,70.48,77.44,21.22,16.19,6.99,76.91,chickpea
51.73,50.15,55.33,23.25,72.37,6.28,81.08,chilli
85.85,71.4,89.63,26.42,68.09,5.73,92.87,tobacco
19.62,74.57,36.73,25.2,72.78,6.63,86.13,soybean
97.0,76.45,49.29,28.14,70.1,5.77,120.96,banana
84.46,47.68,61.58,18.89,89.5,6.07,49.08,cauliflower
44.29,46.86,45.4,27.79,66.2,6.43,81.93,tomato
37.54,18.5,46.26,18.66,68.61,6.1,102.57,lemon
22.03,24.68,36.96,24.46,77.01,5.97,76.28,grapes
78.26,41.76,36.46,18.53,78.99,6.87,194.53,jute
45.19,36.3,49.35,27.08,60.46,6.48,46.52,castor
50.04,44.88,33.18,25.95,54.55,6.12,67.23,sesame
88.29,47.13,68.46,29.14,99.71,6.37,222.14,turmeric
98.07,27.2,23.59,29.45,53.01,7.05,135.29,coffee
38.14,34.32,103.99,24.03,74.46,5.36,77.37,sweet_potato
56.03,44.79,39.59,20.92,84.75,5.57,231.46,cardamom
97.96,101.03,56.45,28.35,86.32,6.22,86.68,banana
22.92,46.84,123.55,20.15,81.35,5.43,70.25,sweet_potato
119.92,27.37,74.26,15.84,64.94,6.84,47.73,spinach
91.93,4.84,60.89,27.1,74.69,6.81,50.13,watermelon
61.13,45.66,28.91,24.38,66.49,6.95,74.64,garlic
51.27,48.83,63.2,22.43,75.85,6.24,56.16,chilli
92.83,52.36,84.67,18.94,67.78,6.17,60.05,cauliflower
70.47,44.0,39.96,19.81,78.39,6.77,25.95,mustard
101.16,14.77,39.08,17.57,88.82,6.22,47.32,watermelon
29.45,70.08,25.36,31.34,78.66,7.2,61.95,blackgram
104.67,13.52,23.99,25.7,51.5,6.62,219.92,coffee
44.1,55.45,48.68,13.56,69.76,6.98,69.04,garlic
67.12,35.93,55.44,25.18,56.15,6.7,60.19,chilli
15.22,60.93,49.69,24.67,73.17,7.04,118.77,soybean
22.27,23.29,32.81,32.62,43.97,5.52,72.43,mango
14.87,67.0,43.92,26.0,59.49,6.9,64.45,groundnut
46.29,70.38,20.79,26.04,72.63,6.95,64.75,blackgram
77.2,57.71,58.92,24.82,67.8,6.42,69.7,tobacco
26.66,63.06,18.37,27.53,59.48,5.49,138.82,pigeonpeas
109.96,58.3,55.17,23.23,46.97,6.16,56.6,maize
26.69,128.85,191.86,26.44,91.87,5.76,93.49,apple
114.59,25.6,48.72,26.43,76.78,6.85,64.43,cotton
23.89,81.37,17.71,18.9,55.7,6.86,48.88,lentil
27.78,37.77,8.85,30.84,48.69,6.79,39.14,mothbeans
78.86,46.3,99.58,24.56,59.36,6.39,126.17,tobacco
21.88,9.98,30.52,26.57,93.51,5.84,182.54,coconut
125.6,61.48,43.97,25.45,53.88,6.96,85.79,wheat
110.45,39.76,22.26,18.6,89.8,5.87,191.13,tea
42.36,54.28,69.95,17.6,67.45,6.64,20.0,radish
48.03,38.49,11.51,29.1,47.85,6.43,45.53,sesame
72.58,54.31,62.23,20.94,76.43,6.86,76.26,capsicum
18.59,56.02,10.25,29.03,30.3,7.16,42.26,mothbeans
40.16,53.97,14.1,28.08,58.83,7.02,69.27,blackgram
91.85,7.46,57.57,21.89,79.01,6.34,60.28,watermelon
39.9,42.01,99.81,27.58,75.78,5.46,115.52,sweet_potato
27.33,69.13,20.89,25.61,51.0,6.54,147.1,pigeonpeas
36.95,38.47,20.08,31.03,65.56,6.42,44.89,sesame
50.46,42.72,22.45,26.56,61.93,6.79,27.32,sesame
45.22,40.4,45.17,15.72,58.59,6.14,56.42,coriander
50.58,58.6,62.07,21.19,88.07,6.4,60.65,capsicum
109.64,37.12,61.59,18.65,71.77,7.34,25.75,spinach
52.75,50.31,60.25,27.65,85.83,5.9,79.64,capsicum
44.59,22.39,27.13,24.41,49.6,6.12,101.82,lemon
90.47,45.05,66.53,24.59,91.31,5.81,170.62,turmeric
49.56,69.89,45.97,36.13,100.0,6.39,142.93,papaya
57.4,58.69,53.43,18.4,65.48,7.17,60.22,garlic
57.18,38.2,33.42,34.65,51.5,6.28,69.4,castor
11.79,54.53,13.22,24.88,59.51,6.96,42.94,mothbeans
110.24,61.51,81.69,29.5,75.6,6.36,166.27,sugarcane
54.17,32.58,47.58,20.39,81.36,5.68,259.49,cardamom
19.26,51.03,18.64,27.09,43.24,6.81,43.41,mothbeans
49.37,24.95,66.7,31.04,76.2,6.54,73.55,lemon
40.46,19.91,37.93,22.13,60.42,6.17,78.63,lemon
39.1,53.3,71.83,25.77,72.48,6.46,66.64,tomato
140.0,68.35,69.39,28.36,88.11,6.73,181.95,sugarcane
124.87,47.1,40.22,28.35,75.74,6.95,84.16,cotton
55.84,20.03,37.39,36.8,78.99,6.34,68.0,cashew
84.25,47.84,42.21,29.74,81.1,5.68,206.39,pepper
26.16,16.99,27.05,16.57,78.55,5.59,48.63,grapes
49.18,33.18,74.88,17.44,67.35,6.42,40.4,radish
18.96,59.78,18.63,24.58,73.69,7.45,39.69,lentil
23.44,69.59,9.11,30.27,51.76,5.91,156.77,pigeonpeas
106.86,13.9,53.47,23.82,85.03,6.44,47.74,watermelon
98.05,51.18,80.5,29.59,73.08,5.84,180.2,turmeric
30.11,39.38,53.74,19.14,63.18,6.95,71.59,garlic
22.79,11.79,32.15,25.22,91.94,5.83,174.73,coconut
83.78,58.85,54.78,26.39,76.5,6.13,170.07,ginger
125.4,48.3,40.03,28.0,75.19,7.3,68.88,cotton
52.07,43.65,51.37,26.79,77.46,6.43,33.66,tomato
62.7,66.57,48.22,27.29,90.31,7.23,146.93,papaya
19.23,129.2,193.56,23.1,98.04,5.77,128.36,apple
24.59,69.29,29.72,25.11,47.26,6.5,65.12,lentil
35.88,28.06,31.94,24.66,50.56,7.46,32.28,cumin
127.19,42.47,35.98,20.65,90.59,7.16,68.41,cotton
19.63,67.48,31.68,24.33,58.29,6.73,87.79,soybean
48.86,112.2,110.7,13.69,91.24,5.91,51.06,strawberry
44.72,30.3,32.7,28.34,44.9,6.66,36.12,sesame
93.19,41.56,43.69,30.42,81.36,5.73,233.87,pepper
56.68,72.79,9.48,33.68,71.9,7.43,58.53,blackgram
15.55,36.08,25.36,23.94,60.5,6.37,50.43,mothbeans
83.45,50.8,25.77,17.75,77.59,6.32,197.2,jute
39.19,38.68,34.7,27.02,61.26,6.31,93.05,guava
50.2,33.5,86.75,16.68,62.17,6.29,36.57,radish
5.23,56.58,45.5,26.84,66.06,6.52,75.99,soybean
95.13,16.1,44.07,26.55,90.38,6.66,31.11,muskmelon
28.8,60.14,56.03,25.79,57.46,6.86,20.0,sunflower
100.25,38.28,87.95,28.48,100.0,5.59,181.73,pineapple
35.06,122.77,87.93,18.04,68.6,6.26,75.51,strawberry
24.03,15.58,26.26,21.63,94.74,5.57,121.99,pomegranate
13.12,17.82,9.01,25.08,92.25,7.41,88.76,orange
36.93,28.46,32.02,15.89,53.49,6.94,28.1,cumin
13.38,30.15,34.16,27.51,46.9,6.33,101.05,mango
13.74,44.81,55.97,23.67,62.31,6.3,73.72,groundnut
86.04,21.84,37.34,29.05,100.0,5.4,259.54,rubber
43.71,27.68,38.45,22.0,46.06,6.89,24.8,cumin
58.29,52.84,41.88,35.9,99.45,6.38,90.93,papaya
66.88,32.21,45.34,22.68,97.99,6.4,175.93,cardamom
18.28,21.44,26.09,15.57,88.76,6.27,114.88,pomegranate
98.82,28.29,42.27,22.81,88.19,5.95,277.39,rubber
25.85,19.54,26.01,20.09,75.06,6.07,70.03,grapes
69.04,34.74,49.25,31.03,60.14,6.19,90.94,chilli
15.45,68.06,29.09,18.5,28.78,5.39,79.31,kidneybeans
94.73,42.95,93.79,26.28,91.42,5.52,170.79,turmeric
46.03,32.64,54.16,26.92,67.64,6.6,92.47,guava
20.48,139.39,190.44,21.64,90.8,6.24,116.05,apple
50.56,29.11,37.46,17.9,64.06,6.82,54.51,coriander
63.94,57.43,37.38,19.91,57.32,7.17,51.0,sunflower
63.64,52.04,50.41,24.66,84.77,6.43,57.17,onion
62.72,58.11,24.82,31.75,47.31,6.1,30.27,castor
47.61,48.75,48.92,27.23,70.92,6.59,79.73,capsicum
92.94,42.77,89.74,18.46,86.21,5.85,46.93,cauliflower
17.24,27.17,31.66,21.97,67.27,5.36,66.81,grapes
14.0,50.07,15.7,30.51,88.85,6.68,58.52,mungbean
80.81,35.6,72.2,26.43,84.54,5.44,176.27,pineapple
56.34,51.82,56.23,23.67,90.1,6.4,86.39,capsicum
45.73,66.2,15.51,33.67,73.78,7.05,82.53,blackgram
107.09,81.37,30.28,26.6,76.85,5.96,106.75,banana
12.57,79.82,15.96,27.38,77.58,6.56,40.73,lentil
28.25,13.64,28.94,23.57,86.09,6.6,62.55,grapes
27.26,65.17,22.61,24.87,56.61,5.93,181.77,pigeonpeas
10.96,10.6,48.97,25.1,89.1,6.1,124.01,pomegranate
95.96,88.42,48.25,29.82,81.41,5.29,108.0,banana
73.74,38.48,47.26,21.6,85.41,5.56,181.76,cardamom
105.98,37.38,71.74,12.81,61.52,6.7,38.45,spinach
93.84,8.15,29.3,23.68,73.24,6.97,152.95,coffee
44.35,37.63,45.09,25.48,73.34,6.57,122.71,lemon
